place_id,name,latitude,longitude,categories,address_line1,address_line2,city,state,postcode,country,formatted_address,website,phone,distance_meters
51cb5367ffcdc157c059c30209a018953d40f00103f901edca270d0100000092030c4c6966652053746f72616765,Life Storage,29.582407,-95.0281981,"commercial, rental, rental.storage",Life Storage,"3400 Bayport Boulevard, Seabrook, TX 77586, United States of America",Seabrook,Texas,77586,United States,"Life Storage, 3400 Bayport Boulevard, Seabrook, TX 77586, United States of America",,,38353.0
5166378eb3c4bf57c059e4c9e802039a3d40f00102f901faac8f4c00000000,,29.60160845,-94.9963807,"building, building.commercial, commercial, commercial.convenience",Cedar Street,"Pasadena, TX 77586, United States of America",Pasadena,Texas,77586,United States,"Cedar Street, Pasadena, TX 77586, United States of America",,,38453.0
515f8a17b009c857c05993d8a75ac17f3d40f00103f9019996d53c0100000092031b57616c6d617274204e65696768626f72686f6f64204d61726b6574,Walmart Neighborhood Market,29.4990441,-95.1255913,"commercial, commercial.supermarket",Walmart Neighborhood Market,"2625 West Main Street, League City, TX 77573, United States of America",League City,Texas,77573,United States,"Walmart Neighborhood Market, 2625 West Main Street, League City, TX 77573, United States of America",https://www.walmart.com/store/4618/league-city-tx,,38643.0
5114628962cdc357c059c9aa956945913d40f00103f9011726430e0100000092030e41726c616e2773204d61726b6574,Arlan's Market,29.5674654,-95.0594107,"commercial, commercial.supermarket",Arlan's Market,"4614 East NASA Parkway, Seabrook, TX 77586, United States of America",Seabrook,Texas,77586,United States,"Arlan's Market, 4614 East NASA Parkway, Seabrook, TX 77586, United States of America",,,38926.0
51871ae0dda5cb57c059232b9bc7bc673d40f00103f901b448ce9d0200000092032650616c6d205256205061726b2043616d7067726f756e64202620436162696e2052656e74616c,Palm RV Park Campground & Cabin Rental,29.4052243,-95.1819987,"commercial, commercial.vehicle",Palm RV Park Campground & Cabin Rental,"125 Thompson Road, Alvin, TX 77511, United States of America",Alvin,Texas,77511,United States,"Palm RV Park Campground & Cabin Rental, 125 Thompson Road, Alvin, TX 77511, United States of America",https://palmrvparkcabinrental.com,,39055.0
519a07ae3a9bc757c059940d0ca837843d40f00102f901899836300000000092031c416d65726963616e204675726e69747572652057617265686f757365,American Furniture Warehouse,29.51647425,-95.11884943957413,"building, building.commercial, commercial, commercial.furniture_and_interior",American Furniture Warehouse,"21501 Gulf Freeway, Webster, TX 77598, United States of America",Webster,Texas,77598,United States,"American Furniture Warehouse, 21501 Gulf Freeway, Webster, TX 77598, United States of America",,,39095.0
51f921db9ec5c357c0593775ad788f923d40f00103f9011a26430e010000009203144261792041726561204d656174204d61726b6574,Bay Area Meat Market,29.5725017,-95.0589368,"commercial, commercial.food_and_drink, commercial.food_and_drink.butcher",Bay Area Meat Market,"537 Kirby Road, Seabrook, TX 77586, United States of America",Seabrook,Texas,77586,United States,"Bay Area Meat Market, 537 Kirby Road, Seabrook, TX 77586, United States of America",,,39321.0
512f80f0a1c4c357c05915e15fbfcc923d40f00103f901f9a0c0910200000092030741646f726e6564,Adorned,29.5734367,-95.0588765,"commercial, service, service.beauty, service.beauty.hairdresser",Adorned,"Kirby Road, Taylor Lake Village, TX 77586, United States of America",Taylor Lake Village,Texas,77586,United States,"Adorned, Kirby Road, Taylor Lake Village, TX 77586, United States of America",https://www.adornedbeautyparlor.com/,,39396.0
51847f407fa7c757c059504a240ffa843d40f00102f90160989f0a0000000092031941636164656d792053706f727473202b204f7574646f6f7273,Academy Sports + Outdoors,29.5194406,-95.11959821032185,"building, building.commercial, commercial, commercial.outdoor_and_sport",Academy,"21351 Gulf Freeway, Webster, TX 77598, United States of America",Webster,Texas,77598,United States,"Academy, 21351 Gulf Freeway, Webster, TX 77598, United States of America",https://www.academy.com/storelocator/texas/webster/store-0032,,39438.0
51dce9735adcc557c05989c690fcd28c3d40f00103f901258ba106030000009203115061726c6f7220446f756768746e757473,Parlor Doughtnuts,29.5500944,-95.0915743,"commercial, commercial.food_and_drink, commercial.food_and_drink.bakery",Parlor Doughtnuts,"1850 East NASA Parkway, Houston, TX 77058, United States of America",Houston,Texas,77058,United States,"Parlor Doughtnuts, 1850 East NASA Parkway, Houston, TX 77058, United States of America",http://parlordoughnuts.com,,39670.0
